episode_id,product_id,ingredient_id,therapeutic_class,dosage_form,episode_start,episode_end,duration_days,is_resolved,is_open_at_cutoff,recurrence_index,days_since_prior_episode,episode_gap_rule_days
E000001,P00001,I0368,CNS / analgesia,injection,2015-06-07,2015-07-28,51,1,0,0,,30
E000002,P00001,I0368,CNS / analgesia,injection,2017-01-08,2017-02-03,26,1,0,1,530,30
E000003,P00001,I0368,CNS / analgesia,injection,2018-11-27,2019-01-09,43,1,0,2,662,30
E000004,P00001,I0368,CNS / analgesia,injection,2019-06-17,2019-09-08,83,1,0,3,159,30
E000005,P00002,I0147,Anaesthesia,ophthalmic,2018-02-08,2018-07-03,145,1,0,0,,30
E000006,P00003,I0416,Anti-infective,injection,2015-07-08,2015-09-23,77,1,0,0,,30
E000007,P00004,I0094,Oncology,ophthalmic,2017-01-25,2017-06-07,133,1,0,0,,30
E000008,P00004,I0094,Oncology,ophthalmic,2019-10-06,2020-01-02,88,1,0,1,851,30
E000009,P00005,I0329,Anaesthesia,oral liquid,2015-08-21,2018-09-16,1122,1,0,0,,30
E000010,P00005,I0329,Anaesthesia,oral liquid,2020-09-13,2021-02-08,148,1,0,1,728,30
E000011,P00006,I0197,Electrolytes / fluids,inhalation,2016-08-27,2016-10-10,44,1,0,0,,30
E000012,P00007,I0192,Respiratory,inhalation,2017-01-26,2017-05-19,113,1,0,0,,30
E000013,P00007,I0192,Respiratory,inhalation,2018-02-01,2018-04-03,61,1,0,1,258,30
E000014,P00008,I0087,Respiratory,oral solid,2017-11-02,2018-04-08,157,1,0,0,,30
E000015,P00009,I0422,Ophthalmic,inhalation,2017-02-04,2017-04-22,77,1,0,0,,30
E000016,P00010,I0032,Cardiovascular,inhalation,2015-01-13,2015-03-12,58,1,0,0,,30
E000017,P00010,I0032,Cardiovascular,inhalation,2017-06-21,2017-07-08,17,1,0,1,832,30
E000018,P00011,I0094,Anaesthesia,inhalation,2018-03-17,2018-06-21,96,1,0,0,,30
E000019,P00011,I0094,Anaesthesia,inhalation,2020-06-22,2020-08-16,55,1,0,1,732,30
E000020,P00012,I0022,Electrolytes / fluids,oral liquid,2016-05-14,2018-04-16,702,1,0,0,,30
E000021,P00013,I0162,Anti-infective,inhalation,2017-12-08,2018-04-20,133,1,0,0,,30
E000022,P00014,I0286,Cardiovascular,oral solid,2016-03-04,2016-09-16,196,1,0,0,,30
E000023,P00015,I0374,Oncology,oral liquid,2017-05-18,2017-10-05,140,1,0,0,,30
E000024,P00016,I0357,Respiratory,ophthalmic,2016-11-10,2017-03-04,114,1,0,0,,30
E000025,P00017,I0081,Cardiovascular,ophthalmic,2015-05-07,2015-08-06,91,1,0,0,,30
E000026,P00017,I0081,Cardiovascular,ophthalmic,2016-03-13,2016-06-05,84,1,0,1,220,30
