product_id,therapeutic_class,n_episodes,total_days_short,longest_episode_days,ever_open_at_cutoff
P00001,CNS / analgesia,4,203,83,0
P00002,Anaesthesia,1,145,145,0
P00003,Anti-infective,1,77,77,0
P00004,Oncology,2,221,133,0
P00005,Anaesthesia,2,1270,1122,0
P00006,Electrolytes / fluids,1,44,44,0
P00007,Respiratory,2,174,113,0
P00008,Respiratory,1,157,157,0
P00009,Ophthalmic,1,77,77,0
P00010,Cardiovascular,2,75,58,0
P00011,Anaesthesia,2,151,96,0
P00012,Electrolytes / fluids,1,702,702,0
P00013,Anti-infective,1,133,133,0
P00014,Cardiovascular,1,196,196,0
P00015,Oncology,1,140,140,0
P00016,Respiratory,1,114,114,0
P00017,Cardiovascular,2,175,91,0
P00018,Electrolytes / fluids,3,180,121,0
P00019,Anti-infective,2,252,201,0
P00020,Electrolytes / fluids,1,81,81,0
P00021,CNS / analgesia,1,40,40,0
P00022,Endocrine,1,83,83,0
P00023,Ophthalmic,1,113,113,0
P00024,Cardiovascular,1,34,34,0
P00025,Ophthalmic,2,121,77,0
P00026,Immunologic,1,28,28,0
P00027,Electrolytes / fluids,2,110,67,0
P00028,Cardiovascular,2,241,171,0
P00029,Anaesthesia,3,485,240,0
P00030,Ophthalmic,1,32,32,0
P00031,Anaesthesia,2,316,253,0
P00032,Electrolytes / fluids,1,234,234,0
P00033,Oncology,3,644,342,0
P00034,Cardiovascular,1,80,80,0
P00035,Cardiovascular,1,90,90,0
P00036,CNS / analgesia,2,92,46,0
P00037,Cardiovascular,1,22,22,0
P00038,Endocrine,5,531,260,0
P00039,CNS / analgesia,2,309,194,0
P00040,Ophthalmic,1,58,58,0
P00041,Anti-infective,2,476,312,0
P00042,Respiratory,3,162,68,0
P00043,Endocrine,1,241,241,0
P00044,Anaesthesia,2,564,544,0
P00045,Cardiovascular,1,124,124,0
P00046,Electrolytes / fluids,1,35,35,0
P00047,Anti-infective,2,91,49,0
P00048,Oncology,2,248,127,0
P00049,Immunologic,4,180,57,0
P00050,Respiratory,4,171,72,0
P00051,Electrolytes / fluids,1,269,269,0
P00052,Anti-infective,2,146,76,0
P00053,Oncology,1,86,86,0
P00054,Respiratory,1,101,101,0
P00055,Electrolytes / fluids,1,212,212,0
P00056,Cardiovascular,1,54,54,0
P00057,Electrolytes / fluids,1,31,31,0
P00058,Cardiovascular,2,156,125,0
P00059,CNS / analgesia,1,627,627,0
P00060,Immunologic,2,229,209,0
P00061,Oncology,2,220,178,0
P00062,Cardiovascular,1,90,90,0
P00063,Endocrine,1,84,84,0
P00064,CNS / analgesia,1,80,80,0
P00065,Oncology,2,306,191,0
P00066,Anti-infective,2,209,143,0
P00067,CNS / analgesia,3,108,72,0
P00068,Oncology,1,71,71,0
P00069,CNS / analgesia,1,268,268,0
P00070,Respiratory,1,112,112,0
P00071,Endocrine,2,91,71,0
P00072,Electrolytes / fluids,1,67,67,0
P00073,Oncology,3,624,493,0
P00074,Endocrine,2,386,237,0
P00075,Oncology,1,467,467,0
P00076,Respiratory,1,62,62,0
P00077,CNS / analgesia,5,302,90,0
P00078,Respiratory,4,336,101,0
P00079,Oncology,1,59,59,0
P00080,Anti-infective,2,177,121,0
P00081,Electrolytes / fluids,1,577,577,0
P00082,Electrolytes / fluids,1,446,446,0
P00083,CNS / analgesia,2,153,83,0
